app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at
Genshin Impact,miHoYo,iOS,1,Adventure,4.8,1000000,Free,Yes,Yes,Open World RPG,Daily Login Rewards,Anime|RPG,https://apps.apple.com/app/genshin-impact/id1517783697,2026-05-21
Roblox,Roblox Corporation,iOS,2,Casual,4.5,5000000,Free,Yes,Yes,User Created Worlds,Virtual Currency,SandBox|Creative,https://apps.apple.com/app/roblox/id431946152,2026-05-21
Among Us,InnerSloth,Android,3,Social,4.4,2000000,Free,Yes,No,Social Deduction,Cosmetic Rewards,Multiplayer|Party,https://play.google.com/store/apps/details?id=com.innersloth.spacemafia,2026-05-21
Candy Crush Saga,King,iOS,4,Puzzle,4.7,10000000,Free,Yes,No,Match-3,Energy System,Puzzle|Casual,https://apps.apple.com/app/candy-crush-saga/id553834731,2026-05-21
PUBG Mobile,Tencent,Android,5,Action,4.3,30000000,Free,Yes,Yes,Battle Royale,Season Pass,Shooter|Competitive,https://play.google.com/store/apps/details?id=com.tencent.ig,2026-05-21
Minecraft,Mojang,iOS,6,Simulation,4.8,500000,Paid,No,No,Building Survival,Endless Exploration,Sandbox|Creative,https://apps.apple.com/app/minecraft/id479516143,2026-05-21
Clash of Clans,Supercell,Android,7,Strategy,4.6,50000000,Free,Yes,No,Base Building,Clan Wars,Strategy|Build,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,2026-05-21
Call of Duty: Mobile,Activision,iOS,8,Action,4.7,2000000,Free,Yes,Yes,Multiplayer FPS,XP Progression,Shooter|FPS,https://apps.apple.com/app/call-of-duty-mobile/id1287282214,2026-05-21
Subway Surfers,SYBO Games,Android,9,Arcade,4.6,100000000,Free,Yes,No,Endless Runner,Weekly Missions,Runner|Casual,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,2026-05-21
Pokemon GO,Niantic,iOS,10,AR,4.4,500000,Free,Yes,No,Augmented Reality,Daily Streaks,AR|Adventure,https://apps.apple.com/app/pokemon-go/id1094591345,2026-05-21
Call of Duty: Mobile,Activision,Android,11,Action,4.5,12000000,Free,Yes,Yes,Multiplayer FPS,Battle Pass,Competitive,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter,2026-05-21
Pokémon GO,Niantic,iOS,12,Adventure,4.3,15000000,Free,Yes,Yes,AR Exploration,Event Raids,AR|Location-based,https://apps.apple.com/app/pokemon-go/id1094591345,2026-05-21
Among Us,InnerSloth,iOS,13,Casual,4.4,2000000,Free,Yes,No,Social Deduction,Skins,Party|Social,https://apps.apple.com/app/among-us/id1351168404,2026-05-21
Candy Crush Saga,King,Android,14,Puzzle,4.6,30000000,Free,Yes,No,Match-3,Daily Booster Wheel,Casual|Match3,https://play.google.com/store/apps/details?id=com.king.candycrushsaga,2026-05-21
Minecraft,Mojang,Android,15,Simulation,4.5,4000000,Paid,No,No,Survival Crafting,Updates,Creative|Survival,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2026-05-21
PUBG Mobile,Tencent,iOS,16,Action,4.5,25000000,Free,Yes,Yes,Battle Royale,Seasonal Events,Competitive|Shooter,https://apps.apple.com/app/pubg-mobile/id1330123889,2026-05-21
Clash of Clans,Supercell,iOS,17,Strategy,4.7,18000000,Free,Yes,Yes,Base Building,Clan Wars,Strategy|Multiplayer,https://apps.apple.com/app/clash-of-clans/id529479190,2026-05-21
Subway Surfers,SYBO,Android,18,Arcade,4.4,35000000,Free,Yes,No,Endless Runner,Daily Challenges,Arcade|Casual,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,2026-05-21
Brawl Stars,Supercell,iOS,19,Action,4.7,5000000,Free,Yes,Yes,Hero Shooter,Trophy Road,MOBA|Action,https://apps.apple.com/app/brawl-stars/id1229019807,2026-05-21
Marvel Snap,Second Dinner,iOS,20,Card,4.6,500000,Free,Yes,Yes,Card Battler,Collection Level,Card Game|Marvel,https://apps.apple.com/app/marvel-snap/id1592047585,2026-05-21
